aNo,Canton,Sector,Específico,Alcance 1 (ton CO2 eq),Alcance 2 (ton CO2 eq),Alcance 3 (ton CO2 eq)
2017,Belen,Energía Estacionaria,Edificios residenciales,426.0546897,1615.656981,
2017,Belen,Energía Estacionaria,Edificios e instalaciones comerciales e institucionales,21535.5189,3981.032623,
2017,Belen,Energía Estacionaria,Construcción e industrias manufactureras,133548.7505,11256.55983,
2017,Belen,Energía Estacionaria,Industrias energéticas,NO,NO,
2017,Belen,Energía Estacionaria,"Actividades agrícolas, de silvicultura y de pesca",NO,NO,
2017,Belen,Energía Estacionaria,Fuentes no especificadas,,,
2017,Belen,Energía Estacionaria,"Emisiones fugitivas provenientes de la minería, el procesamiento, el almacenamiento y
el transporte de carbón",,No aplica,No aplica
2017,Belen,Energía Estacionaria,Emisiones fugitivas provenientes de los sistemas de petróleo y gas natural,,No aplica,No aplica
2017,Belen,Transporte,Por carretera,130517.1838,IE,
2017,Belen,Transporte,Ferroviario,124.2466861,IE,
2017,Belen,Transporte,"Navegación marítima, fluvial y lacustre",,,
2017,Belen,Transporte,Aviación,,,
2017,Belen,Transporte,Fuera de carretera,,,No aplica
2017,Belen,Residuos,Disposición de residuos sólidos generados en la ciudad,NO,No aplica,10843.30932
2017,Belen,Residuos,Tratamiento biológico de residuos generados en la ciudad,0.248411455,No aplica,NO
2017,Belen,Residuos,Incineración y quema a cielo abierto de residuos generados en la ciudad,NE,No aplica,NE
2017,Belen,Residuos,Aguas residuales generadas en la ciudad,2768.491652,No aplica,NO
2017,Belen,Procesos Industriales y Uso de Productos,Procesos Industriales,NO,No aplica,No aplica
2017,Belen,Procesos Industriales y Uso de Productos,Uso de Productos,93583.57159,No aplica,No aplica
2017,Belen,"Agricultura, Silvicultura y Otros Usos de la Tierra",Ganadería,164.89053,No aplica,No aplica
2017,Belen,"Agricultura, Silvicultura y Otros Usos de la Tierra",Uso de la Tierra,,No aplica,No aplica
2017,Belen,"Agricultura, Silvicultura y Otros Usos de la Tierra",Fuentes agregadas y emisiones procedentes de fuentes del suelo distintas  al CO2,2.334022,No aplica,No aplica
2017,SanJose,Energía Estacionaria,Edificios residenciales,5698.575952,13705.10982,
2017,SanJose,Energía Estacionaria,Edificios e instalaciones comerciales e institucionales,124261.9726,29874.22255,
2017,SanJose,Energía Estacionaria,Construcción e industrias manufactureras,119285.512,5749.612838,
2017,SanJose,Energía Estacionaria,Industrias energéticas,NO,NO,
2017,SanJose,Energía Estacionaria,"Actividades agrícolas, de silvicultura y de pesca",NO,NO,
2017,SanJose,Energía Estacionaria,Fuentes no especificadas,,,
2017,SanJose,Energía Estacionaria,"Emisiones fugitivas provenientes de la minería, el procesamiento, el almacenamiento y
el transporte de carbón",,No aplica,No aplica
2017,SanJose,Energía Estacionaria,Emisiones fugitivas provenientes de los sistemas de petróleo y gas natural,,No aplica,No aplica
2017,SanJose,Transporte,Por carretera,609943.0524,IE,
2017,SanJose,Transporte,Ferroviario,652.2951022,NO,
2017,SanJose,Transporte,"Navegación marítima, fluvial y lacustre",,,
2017,SanJose,Transporte,Aviación,6592.50412,,
2017,SanJose,Transporte,Fuera de carretera,,,No aplica
2017,SanJose,Residuos,Disposición de residuos sólidos generados en la ciudad,111885.3418,No aplica,79127.72119
2017,SanJose,Residuos,Tratamiento biológico de residuos generados en la ciudad,NE,No aplica,NE
2017,SanJose,Residuos,Incineración y quema a cielo abierto de residuos generados en la ciudad,NE,No aplica,NE
2017,SanJose,Residuos,Aguas residuales generadas en la ciudad,9994.824375,No aplica,NE
2017,SanJose,"Agricultura, Silvicultura y Otros Usos de la Tierra",Ganadería,14.57232,No aplica,No aplica
2017,SanJose,"Agricultura, Silvicultura y Otros Usos de la Tierra",Uso de la Tierra,NE,No aplica,No aplica
2017,SanJose,"Agricultura, Silvicultura y Otros Usos de la Tierra",Fuentes agregadas y emisiones procedentes de fuentes del suelo distintas  al CO2,2.19743158,No aplica,No aplica
