Código,NOMBCANT,C1
101,101 San José,288054
102,102 Escazú,56509
103,103 Desamparados,208411
104,104 Puriscal,33004
105,105 Tarrazú,16280
106,106 Aserrí,57892
107,107 Mora,26294
108,108 Goicoechea,115084
109,109 Santa Ana,49123
110,110 Alajuelita,77603
111,111 Vázquez de Coronado,60486
112,112 Acosta,20209
113,113 Tibás,64842
114,114 Moravia,56919
115,115 Montes de Oca,49132
116,116 Turrubares,5512
117,117 Dota,6948
118,118 Curridabat,65206
119,119 Pérez Zeledón,134534
120,120 León Cortés Castro,12200
201,201 Alajuela,254886
202,202 San Ramón,80566
203,203 Grecia,76898
204,204 San Mateo,6136
205,205 Atenas,25460
206,206 Naranjo,42713
207,207 Palmares,34716
208,208 Poás,29199
209,209 Orotina,20341
210,210 San Carlos,163745
211,211 Zarcero,12205
212,212 Valverde Vega,18085
213,213 Upala,43953
214,214 Los Chiles,23735
215,215 Guatuso,15508
301,301 Cartago,147898
302,302 Paraíso,57743
303,303 La Unión,99399
304,304 Jiménez,14669
305,305 Turrialba,69616
306,306 Alvarado,14312
307,307 Oreamuno,45473
308,308 El Guarco,41793
401,401 Heredia,123616
402,402 Barva,40660
403,403 Santo Domingo,40072
404,404 Santa Bárbara,36243
405,405 San Rafael,45965
406,406 San Isidro,20633
407,407 Belén,21633
408,408 Flores,20037
409,409 San Pablo,27671
410,410 Sarapiquí,57147
501,501 Liberia,62987
502,502 Nicoya,50825
503,503 Santa Cruz,55104
504,504 Bagaces,19536
505,505 Carrillo,37122
506,506 Cañas,26201
507,507 Abangares,18039
508,508 Tilarán,19640
509,509 Nandayure,11121
510,510 La Cruz,19181
511,511 Hojancha,7197
601,601 Puntarenas,115019
602,602 Esparza,28644
603,603 Buenos Aires,45244
604,604 Montes de Oro,12950
605,605 Osa,29433
606,606 Aguirre,26861
607,607 Golfito,39150
608,608 Coto Brus,38453
609,609 Parrita,16115
610,610 Corredores,41831
611,611 Garabito,17229
701,701 Limón,94415
702,702 Pococí,125962
703,703 Siquirres,56786
704,704 Talamanca,30712
705,705 Matina,37721
706,706 Guácimo,41266
